
Text;text;Der anzuzeigende Text
Text;style;Schriftart, -größe, -farbe
Text;textAlign;Textausrichtung (z.B. TextAlign.center, TextAlign.left, TextAlign.right)
Text;textDirection;Textrichtung (z.B. TextDirection.ltr, TextDirection.rtl)
Text;locale;Lokalisierung des Textes
Text;maxLines;Maximale Anzahl von Zeilen
Text;overflow;Überlaufverhalten (z.B. TextOverflow.clip, TextOverflow.ellipsis, TextOverflow.fade)
Text;semanticsLabel;Semantik-Label für den Text
Text;softWrap;Weiches Umbruchverhalten
Text;strutStyle;Strut-Stil für den Text
Text;textHeightBehavior;Verhalten der Textgröße
Text;textScaleFactor;Skalierungsfaktor für den Text
Text;;
Container;child;Das enthaltene Widget
Container;alignment;Ausrichtung des enthaltenen Widgets
Container;constraints;Einschränkungen für die Größe des Containers
Container;decoration;Dekoration des Containers (z.B. BoxDecoration, BoxDecoration border)
Container;foregroundDecoration;Vordergrund-Dekoration des Containers
Container;height;Höhe des Containers
Container;margin;Abstand des Containers
Container;padding;Innenabstand des Containers
Container;transform;Transformation des Containers
Container;width;Breite des Containers
Container;;
Row;children;Die enthaltenen Widgets
Row;crossAxisAlignment;Kreuzausrichtung der Widgets
Row;mainAxisAlignment;Hauptausrichtung der Widgets
Row;mainAxisSize;Hauptgröße der Row
Row;textBaseline;Text-Baseline für die Ausrichtung
Row;textDirection;Textrichtung für die Ausrichtung
Row;verticalDirection;Vertikale Richtung der Row
Row;;
Column;children;Die enthaltenen Widgets
Column;crossAxisAlignment;Kreuzausrichtung der Widgets
Column;mainAxisAlignment;Hauptausrichtung der Widgets
Column;mainAxisSize;Hauptgröße der Column
Column;textBaseline;Text-Baseline für die Ausrichtung
Column;textDirection;Textrichtung für die Ausrichtung
Column;verticalDirection;Vertikale Richtung der Column
Column;;
Stack;children;Die enthaltenen Widgets
Stack;alignment;Ausrichtung der Widgets
Stack;fit;Anpassung der Größe der Stack
Stack;overflow;Überlaufverhalten der Stack
Stack;textDirection;Textrichtung für die Ausrichtung
Stack;;
Positioned;child;Das enthaltene Widget
